,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-09-11,-3.4153999999999995,-0.7851494252873563,0.0,0.0,0.0,0.0,-3.4153999999999995,0.0,0.0
2018-09-20,7.704979999999999,0.6984386840855279,0.0,0.0,0.0,0.0,4.289579999999999,0.0,0.0
2018-09-21,9.19793999999996,0.03238891915661757,0.0,0.0,0.0,0.0,13.487519999999959,0.0,0.0
2018-09-22,-37.52840000000003,-0.07110457991373875,0.0,0.0,0.0,0.0,-24.040880000000072,0.0,0.0
2018-09-23,-25.701999999999998,-0.03524041830000835,-0.05730092639424653,-41.791456549895,-0.04614201324720762,-33.65289294762567,-49.74288000000007,-41.791456549895,-33.65289294762567
2018-09-24,-112.80910000000006,-0.1747401569436572,0.16401965295703078,100.63360199317441,0.11389722760515877,69.88118840823475,-162.55198000000013,58.842145443279406,36.228295460609075
2018-09-25,-22.188559999999995,-0.06495191841017822,-0.06075110633898002,-19.68336817400654,-0.11938284932230293,-38.68006228168204,-184.74054000000012,39.15877726927287,-2.4517668210729653
2018-09-26,-58.85686999999996,-0.14848193866875348,0.0,0.0,0.0,0.0,-243.59741000000008,39.15877726927287,-2.4517668210729653
2018-09-27,-75.64699999999993,-0.11319231291217136,-0.08664087460326193,-49.24805937848773,-0.14756171632132922,-83.87644054450466,-319.24441,-10.089282109214864,-86.32820736557763
2018-09-28,-110.48034999999999,-0.2186158482730085,-0.3344964523297775,-35.495291736845736,0.006157737669910778,0.6534320274851841,-429.72476,-45.5845738460606,-85.67477533809245
2018-09-29,188.72793999999988,0.3183828357438727,0.654380528081565,241.02134448972808,0.637836722800749,234.92793244483067,-240.99682000000013,195.43677064366747,149.25315710673823
2018-09-30,56.86869999999999,0.09296064096740131,0.1694932165901712,91.70052513738217,0.12210848307693517,66.06407174960317,-184.12812000000014,287.13729578104966,215.3172288563414
2018-10-01,-96.964339,-0.08753082361440812,-0.37904232996993065,-419.8931012058288,0.22263947076572643,246.63413671518288,-281.09245900000013,-132.75580542477917,461.95136557152426
2018-10-02,234.29589999999985,0.5616240351487392,0.0,0.0,0.0,0.0,-46.796559000000286,-132.75580542477917,461.95136557152426
2018-10-03,156.98949,0.36121872404357536,0.251096911560773,109.12938190254361,0.37266122526839524,161.96252243724467,110.1929309999997,-23.626423522235555,623.9138880087689
2018-10-04,161.50430000000017,0.1633293916207883,0.15708118971576077,155.32591737751994,-0.1582671903835406,-156.49866531803778,271.6972309999999,131.6994938552844,467.4152226907312
2018-10-05,278.94565,0.45902188718614534,0.48055055447045647,275.4512174095498,0.5187239984262905,297.33220685495087,550.6428809999999,407.15071126483423,764.747429545682
2018-10-06,424.36877000000027,0.4139566710178564,0.4358247543908375,405.50208584893585,0.4141577477459444,385.34256920815363,975.0116510000001,812.65279711377,1150.0899987538357
2018-10-07,490.8757199999998,0.6358755051438121,0.0,0.0,0.0,0.0,1465.8873709999998,812.65279711377,1150.0899987538357
2018-10-08,-244.39453800000013,-0.30664168436330286,0.0,0.0,0.0,0.0,1221.4928329999998,812.65279711377,1150.0899987538357
2018-10-09,-336.5992419999999,-0.5082370846239994,0.0,0.0,0.0,0.0,884.8935909999999,812.65279711377,1150.0899987538357
2018-10-10,-81.63748000000001,-0.4509835268818012,-0.03856132447821828,-4.190816980139139,-0.45179472373032914,-49.10072528281109,803.2561109999999,808.4619801336308,1100.9892734710247
2018-10-11,-11.325389000000001,-0.046840628702647824,0.0,0.0,0.0,0.0,791.930722,808.4619801336308,1100.9892734710247
2018-10-12,83.13617000000002,0.4867861110023004,0.0,0.0,0.0,0.0,875.0668919999999,808.4619801336308,1100.9892734710247
2018-10-13,137.90352999999993,0.7595033382869598,0.6898362049687826,118.85901059092232,-0.2703268592223578,-46.57740894416381,1012.9704219999999,927.3209907245532,1054.4118645268609
2018-10-14,15.865639999999956,0.0696312601858764,0.0,0.0,0.0,0.0,1028.8360619999999,927.3209907245532,1054.4118645268609
