,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-10-11,-0.7586200000000005,-0.1240385873119687,0.0,0.0,0.0,0.0,-0.7586200000000005,0.0,0.0
2018-10-12,1.9813729999999996,0.15700846228029097,0.0,0.0,0.0,0.0,1.222752999999999,0.0,0.0
2018-10-13,10.081040000000002,0.6268001546942366,0.0,0.0,0.0,0.0,11.303793,0.0,0.0
2018-10-14,8.060404000000002,0.90579058856581,0.0,0.0,0.0,0.0,19.364197000000004,0.0,0.0
2018-10-15,3.2771660000000002,0.7812510206168783,0.68980191229164,2.8935582982178656,0.6309527226466554,2.6466996595183425,22.641363000000005,2.8935582982178656,2.6466996595183425
2018-10-16,9.205300000000001,1.7553966437833712,1.867001600110115,9.790556390977445,-0.5814350836438369,-3.049045578628281,31.846663000000007,12.68411468919531,-0.40234591910993833
2018-10-17,3.988149999999999,0.3124285154719937,0.3990856600961864,5.094328451127819,0.02022320100928622,0.25814916088353856,35.834813000000004,17.778443140323127,-0.14419675822639977
2018-10-18,8.93177,0.5754735763073,0.6663439170425342,10.342144023559571,1.7143570443235494,26.608072808543845,44.766583000000004,28.120587163882696,26.463876050317445
2018-10-19,-13.987570000000002,-0.3390419757922212,-0.37175260430698154,-15.33708492370552,0.27377025874670247,11.294709598095357,30.779013000000003,12.783502240177176,37.758585648412804
2018-10-20,-1.8999900000000025,-0.031543349506302554,-0.02040956040185915,-1.2293545636356846,0.1804581053423192,10.869758631715591,28.879023,11.554147676541492,48.628344280128395
2018-10-21,11.045400000000015,0.15309703602674585,0.15512920439100095,11.19201363167491,0.052030183106432974,3.753790402469956,39.92442300000002,22.7461613082164,52.38213468259835
2018-10-22,16.693300000000008,0.1604691424720821,0.17292246530448546,17.988795512941543,-0.17210975149971824,-17.904250439987837,56.617723000000026,40.734956821157944,34.477884242610514
2018-10-23,27.144449999999992,0.273037949473125,0.26049250668589574,25.897227241687688,0.45092790005177974,44.82962848270776,83.76217300000002,66.63218406284562,79.30751272531828
