,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-12-05,-3.8704399999999985,-0.15314888969785212,0.0,0.0,0.0,0.0,-3.8704399999999985,0.0,0.0
2018-12-06,11.06042,0.36490692092608934,0.0,0.0,0.0,0.0,7.189980000000002,0.0,0.0
2018-12-07,-33.41969000000003,-0.14222275200428713,0.0,0.0,0.0,0.0,-26.22971000000003,0.0,0.0
2018-12-08,20.016200000000026,0.08151787237872532,0.0,0.0,0.0,0.0,-6.213510000000003,0.0,0.0
2018-12-09,-32.84679999999997,-0.062056341311766405,0.0,0.0,0.0,0.0,-39.06030999999997,0.0,0.0
2018-12-10,-47.436999999999955,-0.09169780623287205,0.0,0.0,0.0,0.0,-86.49730999999993,0.0,0.0
2018-12-11,21.68344000000002,0.03621997484647865,0.0,0.0,0.0,0.0,-64.81386999999991,0.0,0.0
2018-12-12,57.26708400000007,0.0915711199882927,0.0,0.0,0.0,0.0,-7.546785999999841,0.0,0.0
2018-12-13,156.60958000000005,0.25844517802152955,0.0,0.0,0.0,0.0,149.06279400000022,0.0,0.0
2018-12-14,1.3914130000000569,0.0020381810795702116,0.0,0.0,0.0,0.0,150.45420700000028,0.0,0.0
2018-12-15,123.21322000000009,0.21451466372497419,0.0,0.0,0.0,0.0,273.6674270000004,0.0,0.0
2018-12-16,167.3152369999999,0.27962841953953665,0.0,0.0,0.0,0.0,440.9826640000003,0.0,0.0
2018-12-17,-18.926113999999984,-0.028899268844351345,0.0,0.0,0.0,0.0,422.0565500000003,0.0,0.0
2018-12-18,-75.26106900000002,-0.12775041259054332,0.0,0.0,0.0,0.0,346.7954810000003,0.0,0.0
2018-12-19,-31.21078999999986,-0.041242745537115155,0.0,0.0,0.0,0.0,315.5846910000004,0.0,0.0
2018-12-20,-69.36881500000004,-0.07998264509526287,0.0,0.0,0.0,0.0,246.21587600000038,0.0,0.0
2018-12-21,10.398668999999927,0.01671766391686824,-0.30634747384223504,-25.56919999999999,-0.30634747384223504,-25.56919999999999,256.6145450000003,-25.56919999999999,-25.56919999999999
2018-12-22,88.5616040000001,0.11300660722199751,0.16735474517102578,1.6275500000000012,0.16735474517102578,1.6275500000000012,345.1761490000004,-23.94164999999999,-23.94164999999999
2018-12-23,49.07074899999998,0.05313237066735943,-0.49400870387145046,-10.034699999999999,-0.49400870387145046,-10.034699999999999,394.2468980000004,-33.97634999999999,-33.97634999999999
